ping_vendor,pong_vendor,payload_bytes,run_idx,n,min_us,p50_us,p90_us,p99_us,p999_us,max_us,status
rti,zerodds,0,3,2000,27.222,30.258,46.258,64.653,79.42,235.756,ok
rti,zerodds,0,4,2000,27.903,48.612,49.904,59.763,73.188,104.669,ok
rti,zerodds,0,5,0,,,,,,,timeout
rti,cyclone,0,1,2000,24.677,35.387,49.945,80.082,182.626,457.326,ok
rti,cyclone,0,2,2000,24.747,36.108,48.733,72.357,229.284,859.738,ok
rti,cyclone,0,3,2000,26.791,36.72,59.092,85.653,128.885,144.664,ok
rti,cyclone,0,4,2000,31.309,33.033,41.209,69.802,118.625,144.363,ok
rti,cyclone,0,5,2000,24.647,34.104,46.568,72.487,181.734,210.639,ok
rti,fastdds,0,1,2000,32.942,41.509,64.202,95.05,211.881,265.382,ok
rti,fastdds,0,2,2000,35.788,38.964,60.514,80.893,123.514,145.716,ok
rti,fastdds,0,3,2000,34.576,43.833,64.041,86.203,122.853,136.238,ok
rti,fastdds,0,4,2000,30.127,43.462,67.007,95.01,162.498,210.418,ok
rti,fastdds,0,5,2000,36.82,46.238,66.295,77.637,89.049,102.143,ok
rti,rti,0,1,2000,21.59,33.483,50.565,72.226,142.851,158.4,ok
rti,rti,0,2,2000,20.84,24.487,43.222,61.066,106.391,175.211,ok
rti,rti,0,3,2000,21.691,47.941,51.378,66.506,105.209,139.314,ok
rti,rti,0,4,2000,21.25,28.724,36.298,49.724,85.222,174.821,ok
rti,rti,0,5,2000,18.836,25.809,39.174,57.73,69.893,76.726,ok
rti,opendds,0,1,0,,,,,,,timeout
rti,opendds,0,2,0,,,,,,,timeout
rti,opendds,0,3,0,,,,,,,timeout
rti,opendds,0,4,0,,,,,,,timeout
rti,opendds,0,5,0,,,,,,,timeout
opendds,zerodds,0,1,2000,140.155,188.838,234.344,364.651,766.18,887.461,ok
opendds,zerodds,0,2,2000,141.809,192.795,241.077,502.321,979.565,1532.91,ok
opendds,zerodds,0,3,0,,,,,,,timeout
opendds,zerodds,0,4,2000,139.825,188.467,237.45,340.595,850.57,1216.72,ok
opendds,zerodds,0,5,2000,140.135,184.7,228.273,601.92,1066.17,2492.75,ok
opendds,cyclone,0,1,2000,164.962,222.301,304.156,358.298,609.144,777.071,ok
opendds,cyclone,0,2,2000,151.827,223.573,273.168,377.855,689.455,1562.4,ok
opendds,cyclone,0,3,2000,165.954,211.47,277.125,350.153,542.196,1158.2,ok
opendds,cyclone,0,4,2000,160.774,213.063,285.571,374.69,500.378,3148.95,ok
opendds,cyclone,0,5,2000,159.522,226.219,271.534,409.325,1189.8,2436.81,ok
opendds,fastdds,0,1,2000,160.924,235.696,294.768,427.379,671.641,1883.91,ok
opendds,fastdds,0,2,2000,181.413,253.149,314.767,427.069,1461.95,2225.23,ok
opendds,fastdds,0,3,2000,165.253,238.341,308.534,439.092,967.462,1637.61,ok
opendds,fastdds,0,4,2000,5716.17,9955.3,12558.2,20507.4,20952.5,20954.5,ok
opendds,fastdds,0,5,2000,157.438,237.389,319.105,486.03,1049.37,2170.28,ok
opendds,rti,0,1,0,,,,,,,timeout
opendds,rti,0,2,0,,,,,,,timeout
opendds,rti,0,3,0,,,,,,,timeout
opendds,rti,0,4,0,,,,,,,timeout
opendds,rti,0,5,0,,,,,,,timeout
opendds,opendds,0,1,2000,288.026,353.289,431.437,567.054,736.645,845.04,ok
opendds,opendds,0,2,2000,288.356,358.639,432.65,618.732,879.605,1071.97,ok
opendds,opendds,0,3,2000,287.204,351.355,435.064,587.001,1639.22,2271.54,ok
opendds,opendds,0,4,2000,284.94,352.037,433.23,589.917,801.508,1172.51,ok
opendds,opendds,0,5,2000,286.333,392.423,512.971,712.149,2103.56,17221.9,ok
zerodds,zerodds,819,1,2000,23.765,29.836,41.148,57.859,117.272,179.279,ok
zerodds,zerodds,819,2,2000,24.086,39.765,41.999,53.1,61.807,72.287,ok
zerodds,zerodds,819,3,2000,26.32,39.625,41.809,53.031,69.852,72.757,ok
zerodds,zerodds,819,4,2000,26.33,27.382,33.714,43.002,58.08,143.883,ok
zerodds,zerodds,819,5,2000,26.45,29.145,32.291,51.017,92.745,1832.81,ok
zerodds,cyclone,819,1,2000,28.684,34.044,42.67,68.229,143.061,277.045,ok
zerodds,cyclone,819,2,2000,28.725,30.317,49.153,63.43,144.304,203.485,ok
zerodds,cyclone,819,3,2000,25.599,35.207,50.716,74.381,138.051,408.223,ok
zerodds,cyclone,819,4,2000,25.849,35.156,51.497,69.191,99.658,157.478,ok
zerodds,cyclone,819,5,2000,25.629,30.208,41.459,56.958,156.036,305.328,ok
zerodds,fastdds,819,1,2000,33.684,43.462,56.607,87.205,176.434,200.981,ok
zerodds,fastdds,819,2,2000,29.717,45.786,66.356,84.55,200.439,1127.8,ok
zerodds,fastdds,819,3,2000,32.652,40.787,53.051,84.139,272.305,860.329,ok
zerodds,fastdds,819,4,2000,31.389,47.069,62.829,103.576,191.783,219.666,ok
zerodds,fastdds,819,5,2000,30.888,47.72,58.15,83.318,165.754,357.568,ok
zerodds,rti,819,1,2000,26.22,38.322,48.602,122.832,249.713,304.817,ok
zerodds,rti,819,2,2000,28.604,36.349,57.068,80.292,213.905,855.57,ok
zerodds,rti,819,3,2000,31.239,39.515,47.801,65.223,137.851,156.146,ok
zerodds,rti,819,4,2000,31.5,42.29,58.461,75.904,150.976,206.121,ok
zerodds,rti,819,5,2000,31.059,56.817,59.553,78.599,141.508,203.315,ok
zerodds,opendds,819,1,2000,171.735,197.584,229.534,326.188,508.604,570.109,ok
zerodds,opendds,819,2,2000,162.868,201.512,249.783,366.824,862.513,1720.89,ok
zerodds,opendds,819,3,2000,161.485,198.286,246.306,356.676,588.064,920.293,ok
zerodds,opendds,819,4,2000,163.59,190.581,224.596,369.76,685.779,1646.7,ok
zerodds,opendds,819,5,2000,166.015,197.424,249.492,420.246,867.693,1790.18,ok
cyclone,zerodds,819,1,2000,22.372,29.015,42.902,63.711,129.284,186.964,ok
cyclone,zerodds,819,2,2000,24.716,37.671,43.503,57.97,77.747,80.883,ok
cyclone,zerodds,819,3,2000,23.505,29.826,43.803,63.36,108.756,162.698,ok
cyclone,zerodds,819,4,2000,22.502,30.157,43.633,64.122,113.945,364.901,ok
cyclone,zerodds,819,5,0,,,,,,,timeout
cyclone,cyclone,819,1,2000,23.905,32.061,48.281,73.189,164.832,235.586,ok
cyclone,cyclone,819,2,2000,23.584,31.88,49.353,67.789,122.242,203.816,ok
cyclone,cyclone,819,3,2000,23.495,32.902,49.614,71.686,139.374,181.985,ok
cyclone,cyclone,819,4,2000,26.44,32.712,48.181,65.434,110.559,203.245,ok
cyclone,cyclone,819,5,2000,23.445,30.147,44.475,65.363,131.118,191.081,ok
cyclone,fastdds,819,1,2000,30.007,43.543,57.789,81.274,159.532,215.698,ok
cyclone,fastdds,819,2,2000,32.932,39.595,48.933,71.475,90.582,93.647,ok
cyclone,fastdds,819,3,2000,34.094,47.249,61.927,80.422,100.07,117.583,ok
cyclone,fastdds,819,4,2000,31.099,39.124,62.098,82.416,99.809,108.966,ok
cyclone,fastdds,819,5,2000,32.732,43.803,60.204,92.905,131.099,222.421,ok
cyclone,rti,819,1,2000,31.51,50.756,72.116,102.033,177.186,187.305,ok
cyclone,rti,819,2,2000,29.786,51.918,87.446,146.698,410.698,461.243,ok
cyclone,rti,819,3,2000,29.776,43.542,55.365,92.956,311.731,755.521,ok
cyclone,rti,819,4,2000,28.154,43.773,58.23,84.53,117.692,250.945,ok
cyclone,rti,819,5,2000,32.531,51.698,61.626,87.446,202.724,377.164,ok
cyclone,opendds,819,1,2000,211.33,288.356,341.977,420.697,505.297,585.96,ok
cyclone,opendds,819,2,2000,201.131,296.602,364.33,473.937,738.889,2472.66,ok
cyclone,opendds,819,3,2000,180.562,295.028,360.272,428.071,629.773,1063.79,ok
cyclone,opendds,819,4,2000,219.355,302.342,369.43,470.421,658.507,912.027,ok
cyclone,opendds,819,5,2000,192.194,294.548,343.821,427.439,644.7,701.759,ok
fastdds,zerodds,819,1,2000,24.677,35.918,51.668,76.756,158.531,242.64,ok
fastdds,zerodds,819,2,2000,31.69,36.078,46.418,62.718,84.239,124.205,ok
fastdds,zerodds,819,3,2000,25.499,38.944,51.437,68.93,123.664,1164.39,ok
fastdds,zerodds,819,4,2000,29.265,38.793,50.886,65.835,138.272,147.129,ok
fastdds,zerodds,819,5,0,,,,,,,timeout
fastdds,cyclone,819,1,2000,33.263,45.597,70.394,102.434,176.925,235.626,ok
fastdds,cyclone,819,2,2000,25.929,42.24,60.755,89.189,191.011,309.196,ok
fastdds,cyclone,819,3,2000,28.694,41.629,57.319,83.148,186.624,874.907,ok
fastdds,cyclone,819,4,2000,31.349,38.353,55.344,88.979,131.359,164.752,ok
fastdds,cyclone,819,5,2000,31.991,41.77,58.13,83.448,189.228,973.974,ok
fastdds,fastdds,819,1,2000,33.734,42.421,66.867,96.613,143.121,2144.81,ok
fastdds,fastdds,819,2,2000,38.002,44.574,57.198,81.114,160.423,887.19,ok
fastdds,fastdds,819,3,2000,33.995,47.069,58.441,85.932,130.958,193.927,ok
fastdds,fastdds,819,4,2000,33.293,42.41,63.76,104.738,155.324,195.69,ok
fastdds,fastdds,819,5,2000,34.495,40.176,51.006,74.31,132.801,186.924,ok
fastdds,rti,819,1,2000,32.252,44.765,61.857,86.805,210.078,609.144,ok
fastdds,rti,819,2,2000,31.119,42.28,63.811,84.56,125.016,196.072,ok
fastdds,rti,819,3,2000,36.82,45.135,69.642,83.888,114.878,193.647,ok
fastdds,rti,819,4,2000,36.619,68.209,75.143,101.241,178.387,254.011,ok
fastdds,rti,819,5,2000,31.269,41.579,56.968,83.147,220.197,469.419,ok
fastdds,opendds,819,1,2000,199.227,281.624,357.146,516.638,725.384,1472.17,ok
fastdds,opendds,819,2,2000,191.162,282.735,360.673,492.953,819.572,1038.47,ok
fastdds,opendds,819,3,2000,192.494,286.343,354.922,557.606,852.344,902.449,ok
fastdds,opendds,819,4,2000,193.736,282.525,348.29,522.8,890.666,1176.61,ok
fastdds,opendds,819,5,2000,196.251,281.904,336.297,424.965,603.493,650.472,ok
rti,zerodds,819,1,2000,23.274,42.55,51.077,64.552,75.313,86.183,ok
rti,zerodds,819,2,2000,23.384,31.68,49.514,68.54,113.114,259.552,ok
rti,zerodds,819,3,2000,23.174,34.195,52.389,79.03,188.387,276.704,ok
rti,zerodds,819,4,2000,28.323,31.509,43.963,64.191,95.31,203.094,ok
rti,zerodds,819,5,0,,,,,,,timeout
rti,cyclone,819,1,2000,26.561,38.373,54.082,84.22,180.081,230.507,ok
rti,cyclone,819,2,2000,25.939,36.98,58.39,85.001,162.668,176.525,ok
rti,cyclone,819,3,2000,27.071,33.684,51.667,73.459,88.758,187.064,ok
rti,cyclone,819,4,2000,25.348,33.684,54.754,77.216,134.585,262.327,ok
rti,cyclone,819,5,2000,28.685,40.768,61.547,94.65,224.465,1150.68,ok
rti,fastdds,819,1,2000,35.738,45.857,68.019,97.093,269.54,1773.18,ok
rti,fastdds,819,2,2000,34.025,39.224,65.153,88.938,155.705,1170.46,ok
rti,fastdds,819,3,2000,32.211,47.109,62.007,90.802,195.51,289.378,ok
rti,fastdds,819,4,2000,34.586,50.676,60.926,102.244,168.82,383.386,ok
rti,fastdds,819,5,2000,31.139,44.284,65.384,92.115,207.001,623.981,ok
rti,rti,819,1,2000,22.172,42.1,59.232,70.714,125.197,194.178,ok
rti,rti,819,2,2000,21.671,28.174,48.863,59.592,71.074,87.536,ok
rti,rti,819,3,2000,22.132,40.347,53.341,65.464,77.687,135.135,ok
rti,rti,819,4,2000,21.571,25.358,39.204,60.775,92.125,410.929,ok
rti,rti,819,5,2000,21.671,28.705,47.761,70.092,93.116,123.985,ok
rti,opendds,819,1,0,,,,,,,timeout
rti,opendds,819,2,0,,,,,,,timeout
rti,opendds,819,3,0,,,,,,,timeout
rti,opendds,819,4,0,,,,,,,timeout
rti,opendds,819,5,0,,,,,,,timeout
opendds,zerodds,819,1,2000,188.827,219.516,293.646,437.849,1658.15,15556,ok
opendds,zerodds,819,2,2000,140.355,189.348,242.44,441.716,726.706,1813.36,ok
opendds,zerodds,819,3,0,,,,,,,timeout
opendds,zerodds,819,4,2000,159.492,207.283,237.57,438.03,666.072,7837.86,ok
opendds,zerodds,819,5,2000,151.046,194.137,240.585,327.17,855.41,1387.08,ok
opendds,cyclone,819,1,2000,165.964,229.615,301.601,409.054,735.272,1418.44,ok
opendds,cyclone,819,2,2000,169.571,235.286,294.458,454.37,851.633,1223.64,ok
opendds,cyclone,819,3,2000,152.368,240.365,303.104,369.33,717.949,950.289,ok
opendds,cyclone,819,4,2000,149.153,226.85,298.104,386.912,605.236,1905.15,ok
opendds,cyclone,819,5,2000,150.736,236.137,282.586,454.531,598.073,1265.6,ok
opendds,fastdds,819,1,2000,169.601,246.107,329.634,525.545,1202.91,1635.78,ok
opendds,fastdds,819,2,2000,173.709,248.931,319.155,441.386,727.327,1070.46,ok
opendds,fastdds,819,3,2000,155.424,244.834,308.514,404.837,593.644,1216.39,ok
opendds,fastdds,819,4,2000,169.772,238.11,311.379,667.514,1092.43,1399.21,ok
opendds,fastdds,819,5,2000,171.304,241.167,310.699,424.785,1218.84,1994.13,ok
opendds,rti,819,1,0,,,,,,,timeout
opendds,rti,819,2,0,,,,,,,timeout
opendds,rti,819,3,0,,,,,,,timeout
opendds,rti,819,4,0,,,,,,,timeout
opendds,rti,819,5,0,,,,,,,timeout
opendds,opendds,819,1,2000,282.695,357.657,479.427,616.518,783.383,2421.7,ok
opendds,opendds,819,2,2000,278.508,369.93,515.015,630.704,1610.82,2090.63,ok
opendds,opendds,819,3,2000,279.66,360.733,439.713,594.406,848.557,1056.97,ok
opendds,opendds,819,4,2000,279.66,353.73,468.217,649.75,1198.01,1776.4,ok
opendds,opendds,819,5,2000,281.162,361.154,433.51,599.485,740.583,1212.2,ok
zerodds,zerodds,1638,1,2000,28.123,30.778,43.262,52.399,59.874,89.119,ok
zerodds,zerodds,1638,2,2000,28.203,31.329,43.412,59.793,85.783,134.014,ok
zerodds,zerodds,1638,3,2000,28.564,35.708,45.997,73.218,133.684,199.528,ok
zerodds,zerodds,1638,4,2000,25.789,42.691,49.934,82.015,149.002,396.221,ok
zerodds,zerodds,1638,5,2000,28.243,32.081,43.913,64.722,106.311,143.462,ok
zerodds,cyclone,1638,1,2000,32.903,40.928,60.394,87.997,176.645,290.711,ok
zerodds,cyclone,1638,2,2000,30.257,42.25,60.324,109.087,201.131,220.497,ok
zerodds,cyclone,1638,3,2000,29.426,45.617,62.548,85.332,161.816,175.522,ok
zerodds,cyclone,1638,4,2000,32.692,41.739,60.564,70.313,106.581,613.131,ok
zerodds,cyclone,1638,5,2000,29.255,39.735,55.916,74.711,98.928,118.384,ok
zerodds,fastdds,1638,1,2000,38.273,45.176,65.163,99.178,290.34,884.545,ok
zerodds,fastdds,1638,2,2000,34.856,43.983,58.251,89.84,214.345,2162.29,ok
zerodds,fastdds,1638,3,2000,33.954,45.336,61.396,75.453,96.002,137.841,ok
zerodds,fastdds,1638,4,2000,36.138,51.477,64.652,87.045,130.517,730.002,ok
zerodds,fastdds,1638,5,2000,36.97,51.768,71.986,96.953,135.166,154.272,ok
zerodds,rti,1638,1,2000,32.782,46.017,63.55,84.319,252.939,1243.81,ok
zerodds,rti,1638,2,2000,26.57,42.33,62.589,86.524,180.471,568.195,ok
zerodds,rti,1638,3,2000,32.361,45.887,65.705,92.155,175.602,321.138,ok
zerodds,rti,1638,4,2000,32.522,42.631,69.081,92.304,193.396,305.088,ok
zerodds,rti,1638,5,2000,34.866,47.2,65.474,82.967,183.438,357.237,ok
zerodds,opendds,1638,1,2000,210.238,247.869,326.919,567.916,1351.55,1715.93,ok
zerodds,opendds,1638,2,2000,209.888,242.51,325.265,477.645,1291.91,1558.91,ok
zerodds,opendds,1638,3,2000,206.08,240.816,276.033,414.474,1343.06,1735.12,ok
zerodds,opendds,1638,4,2000,203.555,232.36,288.607,488.495,1551.84,2427.83,ok
zerodds,opendds,1638,5,2000,209.907,244.553,281.994,403.545,1266.1,1549.64,ok
cyclone,zerodds,1638,1,2000,29.566,33.654,39.404,53.491,94.84,156.386,ok
cyclone,zerodds,1638,2,2000,24.837,35.487,51.878,72.648,172.617,188.187,ok
cyclone,zerodds,1638,3,2000,29.135,34.234,51.437,75.012,114.186,225.657,ok
cyclone,zerodds,1638,4,2000,29.886,34.927,52.62,65.654,103.536,113.835,ok
cyclone,zerodds,1638,5,2000,26.07,30.317,50.956,62.227,79.029,115.899,ok
cyclone,cyclone,1638,1,2000,29.225,36.549,52.99,81.534,159.833,203.766,ok
cyclone,cyclone,1638,2,2000,26.039,36.019,42.521,63.129,156.446,532.728,ok
cyclone,cyclone,1638,3,2000,29.025,42.43,53.061,70.133,119.717,245.424,ok
cyclone,cyclone,1638,4,2000,24.957,34.385,51.898,75.863,138.923,179.45,ok
cyclone,cyclone,1638,5,2000,24.897,33.463,47.5,67.228,92.084,189.589,ok
cyclone,fastdds,1638,1,2000,33.624,45.135,61.757,82.326,127.792,146.408,ok
cyclone,fastdds,1638,2,2000,33.654,46.178,67.518,96.944,119.265,190.5,ok
cyclone,fastdds,1638,3,2000,32.111,45.627,65.384,84.269,103.386,142.641,ok
cyclone,fastdds,1638,4,2000,34.525,43.453,56.558,76.605,97.916,315.337,ok
cyclone,fastdds,1638,5,2000,32.261,40.256,61.216,78.929,190.881,365.462,ok
cyclone,rti,1638,1,2000,50.816,85.653,101.011,161.606,242.78,482.183,ok
cyclone,rti,1638,2,2000,50.175,87.335,101.462,141.258,218.013,272.586,ok
cyclone,rti,1638,3,2000,50.626,78.759,103.135,149.423,255.985,327.43,ok
cyclone,rti,1638,4,2000,46.508,82.756,108.976,163.84,284.038,345.063,ok
cyclone,rti,1638,5,2000,48.101,81.424,120.848,167.437,290.63,338.982,ok
cyclone,opendds,1638,1,2000,192.975,331.618,411.709,544.671,731.455,812.939,ok
cyclone,opendds,1638,2,2000,189.629,340.565,416.268,523.381,905.675,926.815,ok
cyclone,opendds,1638,3,2000,187.345,326.909,397.623,565.601,1157.29,2620.55,ok
cyclone,opendds,1638,4,2000,202.443,339.453,401.4,489.677,550.462,608.803,ok
cyclone,opendds,1638,5,2000,204.547,336.537,411.569,571.743,819.853,1207.44,ok
fastdds,zerodds,1638,1,2000,29.075,36.649,50.285,69.672,90.581,342.348,ok
fastdds,zerodds,1638,2,2000,28.854,40.016,53.962,82.627,125.597,203.425,ok
fastdds,zerodds,1638,3,2000,30.388,38.483,51.097,77.727,140.637,269.35,ok
fastdds,zerodds,1638,4,2000,31.369,39.414,58.871,86.073,141.648,269.48,ok
fastdds,zerodds,1638,5,2000,32.211,40.808,56.758,76.434,100.581,115.8,ok
fastdds,cyclone,1638,1,2000,26.831,49.995,66.195,107.364,174.541,259.221,ok
fastdds,cyclone,1638,2,2000,29.416,44.053,58.41,96.914,209.968,1058.15,ok
fastdds,cyclone,1638,3,2000,34.135,45.516,57.078,83.839,178.618,249.583,ok
fastdds,cyclone,1638,4,2000,29.325,43.763,57.239,92.415,253.5,409.836,ok
fastdds,cyclone,1638,5,2000,35.707,48.943,66.606,112.382,245.575,284.9,ok
fastdds,fastdds,1638,1,2000,36.339,47.31,68.339,97.104,204.066,539.521,ok
fastdds,fastdds,1638,2,2000,31.52,41.739,63.34,87.216,166.105,824.912,ok
fastdds,fastdds,1638,3,2000,33.393,44.645,68.409,96.062,198.937,1816.89,ok
fastdds,fastdds,1638,4,2000,37.311,39.595,60.875,74.912,104.518,121.72,ok
fastdds,fastdds,1638,5,2000,34.445,47.069,66.746,91.984,198.286,533.22,ok
fastdds,rti,1638,1,2000,33.694,47.66,64.943,90.341,140.385,215.728,ok
fastdds,rti,1638,2,2000,34.966,46.368,70.063,100.791,155.865,160.313,ok
fastdds,rti,1638,3,2000,38.362,51.267,72.007,90.842,199.778,216.129,ok
fastdds,rti,1638,4,2000,33.263,41.779,59.182,83.759,136.939,199.358,ok
fastdds,rti,1638,5,2000,36.519,55.796,72.477,85.612,150.044,242.048,ok
fastdds,opendds,1638,1,2000,195.36,287.324,369.86,604.154,855.009,928.037,ok
fastdds,opendds,1638,2,2000,189.419,290.57,392.403,558.988,737.256,920.202,ok
fastdds,opendds,1638,3,2000,173.518,279.449,337.449,459.23,723.811,849.71,ok
fastdds,opendds,1638,4,2000,190.701,284.419,337.199,459.941,685.148,996.727,ok
fastdds,opendds,1638,5,2000,187.615,291.372,364.33,457.196,597.833,762.594,ok
rti,zerodds,1638,1,2000,27.202,49.083,59.092,82.597,157.588,170.162,ok
rti,zerodds,1638,2,2000,26.89,40.126,60.554,82.807,111.712,194.038,ok
rti,zerodds,1638,3,2000,27.773,53.491,60.404,84.14,134.915,265.242,ok
rti,zerodds,1638,4,2000,33.875,36.248,52.029,68.71,112.393,137.711,ok
rti,zerodds,1638,5,2000,26.761,35.517,44.915,72.246,100.731,174.39,ok
rti,cyclone,1638,1,2000,29.556,42.361,64.152,87.776,213.334,250.544,ok
